(0.027) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.028) SELECT VERSION(); args=None
(0.027) SHOW FULL TABLES; args=None
(0.030) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
(0.028) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.027) SELECT @@sql_mode; args=None
(0.026) SELECT VERSION(); args=None
(0.030) SHOW FULL TABLES; args=None
(0.029) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
(0.030) SHOW FULL TABLES; args=None
(0.028) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
ALTER TABLE `org_profile` DROP COLUMN `disabled` CASCADE; (params [])
(0.047) ALTER TABLE `org_profile` DROP COLUMN `disabled` CASCADE; args=[]
(0.028) SHOW FULL TABLES; args=None
(0.028) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('org', '0005_remove_profile_disabled', '2017-02-25 01:49:32'); args=['org', '0005_remove_profile_disabled', '2017-02-25 01:49:32']
(0.028) SHOW FULL TABLES; args=None
(0.028) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
(0.026) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'wxwelcome' AND `django_content_type`.`app_label` = 'cms'); args=('wxwelcome', 'cms')
(0.026) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (24) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(24,)
(0.026) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'cms'; args=('cms',)
(0.026) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'account' AND `django_content_type`.`app_label` = 'account'); args=('account', 'account')
(0.027) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON (`auth_permission`.`content_type_id` = `django_content_type`.`id`) WHERE `auth_permission`.`content_type_id` IN (1) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(1,)
(0.026) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'account'; args=('account',)
(0.028) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'feedback' AND `django_content_type`.`app_label` = 'feedback'); args=('feedback', 'feedback')
(0.028) SELECT `django_content_type`.`id`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'comment' AND `django_content_type`.`app_label` = 'feedback'); args=('comment', 'feedback')
